欧巴宾海蝎,阿济兹拉旗舰岛,105s,欧洛浦肯:3
异形雪棘,艾布拉纳不冻池,35s,青磷核:3
镰甲鱼,夫妇池,175s,怨妇虾:2
杀手库诺,歌咏裂谷北部,1400s,加诺:1
自走鱼偶,观海湾,350s,变形鱼:5|变影鱼:1
莫名熔岩鱼,光轮祭坛,180s,花岗蟹:5|化石骨舌鱼:3
皇金鱼,红螳螂瀑布,600s,丛林鲶鱼:3
星鲸,湖丙β,600s,额外维度实体-9318:3|未受生魂:2|法拉伊那:1
长吻帆蜥鱼,卡利班深海峡西北,700s,奸隐鱼:2
涅普特龙,罗塔诺海（船尾）,350s,小撒拉奥斯:3
摩耶鳄,摩耶幻泉,180s,萨维奈鳄:5
云海蝴蝶螺,魔窟离岛,60s,夕月天女:3|蛉蝎:3
巨蛇头鳢,亩鼠水泉,350s,骑士虾虎:3
七彩天主,七彩沟,175s,蓝彩鱼:3|橙彩鱼:3|绿彩鱼:5
沙里贝涅,清澈池,120s,冰战神:5
惊喜蛋,沙河,360s,沙卵:10
铠鱼,沙利亚克河上流,160s,蝼蛄:6
潜龙,深壕,90s,以太螯虾:3
醉鱼,加拉迪翁湾外海,60s,加拉迪翁鳀鱼:3
小利维亚桑,梅尔托尔海峡南,60s,步兵剑:1
海铠靴,罗塔诺海海面,60s,深红钓鮟鱇:2
海流星,梅尔托尔海峡北,60s,古老恐鱼:1
索蒂斯,加拉迪翁湾外海幻海流,15s,天堂之钥:2|海神印:1
珊瑚蝠鲼,梅尔托尔海峡南幻海流,15s,巨大枪鱼:2
石骨鱼,罗塔诺海海面幻海流,15s,沉寂者:1|深海鳗:1
依拉丝莫龙,梅尔托尔海峡北幻海流,15s,守领鳍龙:3
暗星,圣人泪,180s,绿灯球藻:5
谢尔达莱结晶,谢尔达莱群岛近海,60s,金属箱:3
素面,绯汐海近海,60s,落水面具:1
银杏鱼,罗斯利特湾近海,60s,罗斯利特海带:3
哈弗古法,谢尔达莱群岛近海幻海流,15s,雾须酒杯:1|喷射蝠鲼:2
海洋蟾蜍,绯汐海近海幻海流,15s,幸福愿景:3
盾齿龙,罗斯利特湾近海幻海流,45s,巨魔鱼:1
科内利亚,塔赫托特尔湖,300s,争斗琵琶鱼:5
兰代勒翼龙,惋惜之晶遗迹,100s,高天鱼:5
波太郎,兀尔德恩惠地,60s,大泷太郎:1
海盗猎人,西风岬,120s,梭子鰆:6
嘎儿鱼,熏香海岸,300s,矛齿鲸:12
幽暗鲨,妖歌海海面,60s,诗人的笛子:2
水引鱼,黄金港近海,60s,鼠鲨:2
天之虎,红玉海海面,60s,深红巨藻:3
茂鲨,无二江下游,60s,平铲鲫鱼:3
塔尼瓦,妖歌海海面幻海流,15s,潜底腔棘鱼:3
琉璃龙,黄金港近海幻海流,45s,捷疾鬼:2
狱之蟹,红玉海海面幻海流,15s,芭蕉乌贼:2|巨型真鱿:1
梅泉宝龟,无二江下游幻海流,15s,玄水虾:1|无二虾虎:2
胸脊鲨,盐湖,350s,雕塑家:2
圣法斯里克的石头脑袋,圣法斯里克天庭,180s,丰饶虹鳉:3，装备诺弗兰特远见钓竿
希望鲤鱼,原型亚历山德里亚,300s,金色昨日:3|绯红女王:3
小腿鲶,足尖小坑,300s,脚尖鲶:3
深坑徨灵,佐戈海峡西侧,300s,瀑布徨灵:3
海鱼小员,无名岛近海,60s,罗塔诺大丽花:3
世界龟,无名岛近海幻海流,20s,谢尔达莱雄鸡:2
丰渔绢纱,萨维奈岛近海,60s,红虾蛄:3
摩那苏婆帝,萨维奈岛近海幻海流,15s,拉札罕龙:3
第四期重建用的特供雕塑家,无风云海,120s,第四期重建用的海云水母:2
白金多鳍鱼,北侧小跳印记,200s,月狼鱼:3
刺突鲛,贝塔闪亮池,240s,林乔利虫:3|月玻璃鱼:1
深度退火蝾螈,退火洞,240s,探索鬼鱼:2
鼓大泡泡,碱石灰河中游南侧,160s,假愿贝:2
胶囊伪鱼,胶囊池,420s,小胶囊:3
火口魂灵,熔火涌流,300s,熔融类鲨:2
崎岖翻车鱼,极界水平线,300s,类圆鳍鱼:2
自形龟,地下池,380s,地洞飞刀:2
绿雕巨雀鳝,翠绿圆泉,300s,类骨舌鱼:5
浓绿虹鳉,盛放喷泉,95s,树晶鲀:3
绿雕巨骨舌鱼,盛放喷泉,350s,盛放脂鲤:1
紫藤水母,子叶蓄水池,180s,狂欢石竹:3
绿雕大蛇,子叶蓄水池,180s,绿雕银鲫:2|浮龙:1|紧急水位调整装置:1
